Order,PID,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Lot_Config,Land_Slope,Neighborhood,Condition_1,Condition_2,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod/Add,Roof_Style,Roof_Matl,Exterior_1st,Exterior_2nd,Mas_Vnr_Type,Mas_Vnr_Area,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,BsmtFin_Type_1,BsmtFin_SF_1,BsmtFin_Type_2,BsmtFin_SF_2,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,1st_Flr_SF,2nd_Flr_SF,Low_Qual_Fin_SF,Gr_Liv_Area,Bsmt_Full_Bath,Bsmt_Half_Bath,Full_Bath,Half_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Yr_Blt,Garage_Finish,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Wood_Deck_SF,Open_Porch_SF,Enclosed_Porch,3Ssn_Porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Yr_Sold,Sale_Type,Sale_Condition,SalePrice,Living_Area_Ratio,Basement_Area_Ratio,Garage_Area_Ratio,House_Age_Binned,Living_Area_Binned,Age_at_Sale,Years_Since_Remodel,Garage_Age,Total_Bathrooms,Total_Porch_SF,Total_SF,Has_Garage,Has_Basement,Has_Fireplace,PC1,PC2,PC3,PC4,PC5,PC6,PC7
44,528138060,20,RL,70.0,10171,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,Gd,TA,PConc,Gd,TA,No,GLQ,2.0,Unf,0.0,1515.0,7.325148957955575,GasA,Ex,Y,SBrkr,1535,0,0,7.336936913707618,0.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2004.0,RFn,2.0,6.278521424165844,TA,TA,Y,0,0,0,0,0,0,,None,,0,3,2010,WD ,Normal,214000,0.1509192803067545,0.14914954281781537,0.05230557467309016,New,Large,6,6,6.0,2.0,0,8.023879992734878,1,1,0,2.3766000226154516,1.0149962160023167,-0.7691853715483858,-0.7708656269507147,-0.16035980161739904,-0.4207015873584563,-0.48720658928402644
46,528175010,120,RL,44.0,6371,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,733.0,Unf,0.0,625.0,7.214504414151143,GasA,Ex,Y,SBrkr,1358,0,0,7.214504414151143,1.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2010.0,RFn,2.0,6.184148890937483,TA,TA,Y,192,35,0,0,0,0,,None,,0,6,2010,New,Partial,224000,0.2131533511222728,0.2131533511222728,0.0759692355988071,New,Medium,1,0,0.0,3.0,227,7.907283609426348,1,1,1,2.6734295848801324,-0.18329326627157663,-0.4824239641865643,-1.0001209729660125,0.5116692891741061,0.47579260010876234,0.10781793774122968
48,528176070,60,RL,105.0,13650,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,Gd,TA,PConc,Gd,TA,Gd,GLQ,578.0,Unf,0.0,1093.0,7.421775793644647,GasA,Ex,Y,SBrkr,1687,563,0,7.719129840906732,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Ex,Attchd,2002.0,Fin,3.0,6.6293632534374485,TA,TA,Y,238,130,0,0,0,0,,None,,0,6,2010,WD ,Normal,320000,0.16483516483516483,0.12241758241758242,0.055384615384615386,New,Very_Large,8,8,8.0,3.5,368,8.274357006756292,1,1,1,4.360592182574533,2.3616273159340837,0.7916878753835203,0.6202984119631363,-0.01039540142767441,0.6566261595268513,0.252673963894192
49,528180070,120,RL,61.0,7658,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,412.0,Ex,TA,PConc,Ex,TA,No,GLQ,456.0,Unf,0.0,1296.0,7.469083884921234,GasA,Ex,Y,SBrkr,1752,0,0,7.469083884921234,1.0,0.0,2,0,2,1,Ex,6,Typ,1,Gd,Attchd,2005.0,RFn,2.0,6.3578422665081,TA,TA,Y,196,82,0,0,0,0,,None,,0,2,2010,WD ,Normal,319900,0.2287803604074171,0.2287803604074171,0.07521546095586315,New,Very_Large,5,5,5.0,3.0,278,8.16194579946869,1,1,1,3.721071731777078,2.019616203382903,-0.03281077473964045,-0.987198016685843,0.38755293249314143,-0.23324008788310788,0.8861763147458385
50,528181050,120,RL,41.0,7132,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,Gd,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,1346.0,7.223295679562314,GasA,Ex,Y,SBrkr,1370,0,0,7.223295679562314,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2006.0,RFn,2.0,6.184148890937483,TA,TA,Y,120,49,0,0,0,0,,None,,0,4,2010,WD ,Normal,205000,0.19209197980931014,0.19209197980931014,0.06786315199102635,New,Medium,4,4,4.0,2.0,169,7.916078096302786,1,1,1,2.3047215219301145,0.2604302070488489,-0.7980687003359197,-0.8251366693903833,-0.042155354240027414,-0.821773332176565,0.34514384453899755
53,528228285,120,RL,43.0,3203,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Blmngtn,Norm,Norm,TwnhsE,1Story,7,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,14.0,Gd,TA,PConc,Gd,TA,Av,GLQ,16.0,Unf,0.0,1129.0,7.044032897274685,GasA,Ex,Y,SBrkr,1145,0,0,7.044032897274685,0.0,0.0,2,0,2,1,Gd,6,Typ,0,,Attchd,2006.0,Fin,2.0,6.082218910376446,TA,TA,Y,100,116,0,0,0,0,,None,,0,1,2010,WD ,Normal,160000,0.35747736497034033,0.35747736497034033,0.13643459256946613,New,Small,4,4,4.0,2.0,216,7.736743682453495,1,1,0,1.4484720174819545,-0.9761755121048139,-1.0284328362830613,-0.7233578856287607,0.09775901155824623,-0.42401132536642144,0.09637603345968601
55,528231020,80,RL,67.0,13300,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,326.0,Unf,0.0,58.0,5.953243334287785,GasA,Ex,Y,SBrkr,744,630,0,7.226209010100671,1.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,5.993961427306569,TA,TA,Y,100,0,0,0,0,0,,None,,0,6,2010,WD ,Normal,184500,0.10330827067669172,0.02887218045112782,0.03007518796992481,New,Medium,6,6,6.0,3.5,100,7.472500744737558,1,1,1,0.7547289038655978,-3.716512997761255,1.583193633852695,0.17676706142670515,0.5636763476877241,0.29867806046657064,0.9232960021947648
57,528240130,60,RL,63.0,8577,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,847.0,6.742880635791903,GasA,Ex,Y,SBrkr,847,886,0,7.458186157340487,0.0,0.0,2,1,3,1,Gd,7,Typ,1,Gd,BuiltIn,2004.0,Fin,2.0,6.073044534100405,TA,TA,Y,144,48,0,0,0,0,,None,,0,4,2010,WD ,Normal,185088,0.20205199953363648,0.0987524775562551,0.05048385216276087,New,Very_Large,6,6,6.0,2.5,192,7.855932199718614,1,1,1,1.591911618910975,-1.369529110489382,0.9599634646487326,-0.2727326275706221,0.000471695495714399,-0.6243020012889998,-0.17842184294471586
64,528382020,60,RL,92.0,11764,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,7,1999,2007,Gable,CompShg,VinylSd,VinylSd,BrkFace,348.0,Gd,TA,PConc,Gd,TA,No,GLQ,524.0,Unf,0.0,628.0,7.050122520269059,GasA,Ex,Y,SBrkr,1164,1106,0,7.7279755421055585,0.0,0.0,2,1,4,1,Gd,9,Typ,1,Gd,Attchd,1999.0,Fin,3.0,6.51025834052315,TA,TA,Y,132,57,0,0,0,0,,None,,0,4,2010,WD ,Normal,290000,0.19296157769466168,0.09792587555253315,0.05703842230533832,Recent,Very_Large,11,3,11.0,2.5,189,8.138272638530186,1,1,1,3.2902780388768598,0.6946733179622235,1.1173632912538225,0.9500700821232964,-1.0203854937114325,-0.493986727179484,0.10047309393433741
67,528445060,20,RL,73.0,8987,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,Gd,TA,PConc,Gd,TA,,Unf,0.0,Unf,0.0,1595.0,7.3752557780097545,GasA,Ex,Y,SBrkr,1595,0,0,7.3752557780097545,0.0,0.0,2,0,2,1,Gd,6,Typ,1,Gd,Attchd,2005.0,RFn,3.0,6.78105762593618,TA,TA,Y,144,0,0,0,0,0,,None,,0,5,2010,WD ,Normal,221500,0.17747858017135862,0.17747858017135862,0.09791921664626684,New,Large,5,4,5.0,2.0,144,8.068089626278244,1,1,1,3.646771184906553,1.487048469106643,-1.0312636206211863,0.929470134243001,-0.7925523382647215,-0.3127834787700066,0.1466190443677919
68,528456160,20,FV,92.0,9215,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,Unf,0.0,Unf,0.0,1218.0,7.105786129481271,GasA,Ex,Y,SBrkr,1218,0,0,7.105786129481271,0.0,0.0,2,0,2,1,Gd,4,Typ,0,,Attchd,2009.0,RFn,2.0,6.517671272912275,TA,TA,Y,0,136,0,0,0,0,,None,,0,4,2010,New,Partial,204500,0.13217580032555615,0.13217580032555615,0.07335865436787846,New,Medium,1,0,1.0,2.0,136,7.798523053625206,1,1,0,2.2201329919838293,-0.6907734088769233,-1.2655961812067487,-0.19963270799397564,-0.1621478389110191,-0.20864600709229733,-0.07289507263108828
69,528458070,60,FV,72.0,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,TA,PConc,Gd,TA,Mn,GLQ,24.0,Unf,0.0,732.0,6.6293632534374485,GasA,Ex,Y,SBrkr,764,783,0,7.344719054149673,0.0,0.0,2,1,3,1,Gd,7,Typ,0,,Attchd,2009.0,Unf,2.0,6.421622267806518,TA,TA,Y,169,45,0,0,0,0,,None,,0,6,2010,Con,Normal,215200,0.17905092592592592,0.0875,0.07106481481481482,New,Large,1,1,1.0,2.5,214,7.742402021815782,1,1,0,1.9002950223272295,-2.1721740391603213,0.4693240155723995,0.29492694911030337,-0.09337916182507716,-0.38643810645307597,-0.015254504056019543
70,528458110,20,FV,75.0,9000,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2008,2008,Gable,CompShg,VinylSd,VinylSd,Stone,36.0,Gd,TA,PConc,Gd,TA,Av,GLQ,1078.0,Unf,0.0,488.0,7.356918242356021,GasA,Ex,Y,SBrkr,1566,0,0,7.356918242356021,1.0,0.0,2,0,3,1,Gd,7,Typ,0,,Attchd,2008.0,RFn,2.0,6.621405651764134,TA,TA,Y,144,168,0,0,0,0,,None,,0,4,2010,WD ,Normal,262500,0.174,0.174,0.08333333333333333,New,Large,2,2,2.0,3.0,312,8.049746290952191,1,1,0,3.551436693753779,1.038678769519629,-0.41883404312086214,-0.43412901406979365,0.33865266015275547,0.30219977008986554,0.4506103448352318
71,528477080,60,FV,100.0,12552,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,222.0,Unf,0.0,769.0,6.899723107284872,GasA,Ex,Y,SBrkr,991,956,0,7.5745584842024805,0.0,0.0,2,1,3,1,Gd,8,Typ,1,Gd,Attchd,2004.0,RFn,2.0,6.520621127558696,TA,TA,Y,0,136,0,0,0,0,,GdWo,,0,5,2010,WD ,Normal,254900,0.1551147227533461,0.07895156150414277,0.05401529636711281,New,Very_Large,6,5,6.0,2.5,136,7.985824666418917,1,1,1,2.359292226837173,-0.48809475818290166,0.8351153740067326,0.25348880459869205,-0.24862531613948033,-0.3914915348280334,-0.43729198775609424
73,531367050,60,RL,76.0,10142,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,656.0,Unf,0.0,300.0,6.863803391452954,GasA,Ex,Y,SBrkr,956,1128,0,7.642524134232902,1.0,0.0,2,1,4,1,Gd,8,Typ,0,,BuiltIn,2004.0,RFn,2.0,6.428105272684596,TA,TA,Y,0,45,0,0,0,0,,None,,0,1,2010,WD ,Normal,233000,0.2054821534214159,0.09426148688621573,0.060934726878327745,New,Very_Large,6,6,6.0,3.5,45,8.019941687677365,1,1,0,2.6459744605822544,-0.578928410500522,1.677857997668276,0.10568135107316037,0.39365128867592225,0.36646666676903844,-0.12292896854328057
74,531369060,60,RL,70.0,11920,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,122.0,Gd,TA,PConc,Gd,TA,Av,Unf,0.0,Unf,0.0,831.0,6.723832440821209,GasA,Ex,Y,SBrkr,831,828,0,7.414572881350589,0.0,0.0,2,1,3,1,Gd,8,Typ,0,,Attchd,2004.0,RFn,2.0,6.184148890937483,TA,TA,Y,144,68,0,0,0,0,,None,,0,4,2010,WD ,Normal,181000,0.1391778523489933,0.06971476510067114,0.04060402684563758,New,Very_Large,6,6,6.0,2.5,212,7.820439515262181,1,1,0,1.5802162404181945,-1.4993612005328192,0.8097778628368792,-0.05984928964914281,0.0033207807955399765,-0.5177626463815882,-0.09885806591625036
78,531452020,120,RL,55.0,7892,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1979,1979,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,Gd,TA,No,Unf,0.0,Unf,0.0,918.0,6.823286122355687,GasA,TA,Y,SBrkr,918,0,0,6.823286122355687,0.0,0.0,2,0,2,1,TA,5,Typ,1,TA,Attchd,1979.0,Unf,1.0,5.579729825986222,TA,TA,Y,28,0,0,0,0,0,,None,,0,4,2010,WD ,Normal,99500,0.1163203243791181,0.1163203243791181,0.03345159655347187,Moderate,Small,31,31,31.0,2.0,28,7.515889085215125,1,1,1,-2.285061660323202,-1.0701422754944023,-0.19913690565432535,-1.3846966904667553,1.1462940019680914,-0.19037623752755087,0.20856932979144413
81,531453010,20,RL,81.0,9672,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,6,5,1984,1985,Hip,CompShg,HdBoard,Plywood,,0.0,TA,TA,PConc,Gd,TA,No,GLQ,338.0,Unf,0.0,702.0,6.947937068614969,GasA,TA,Y,SBrkr,1097,0,0,7.001245622069476,0.0,0.0,2,0,3,1,TA,6,Typ,0,,Attchd,1986.0,Unf,2.0,6.175867270105761,TA,TA,Y,0,0,0,0,0,0,,GdPrv,,0,5,2010,WD ,Normal,152000,0.11342018196856907,0.10752688172043011,0.04962779156327544,Recent,Small,26,25,24.0,2.0,0,7.6676260915849905,1,1,0,-0.4617887469357957,-0.30592276358620674,-0.5222779908028038,0.2343971446216433,0.32556255186743727,0.1946715226574959,-0.12804703923054603
91,533130020,60,RL,107.0,10186,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NoRidge,Norm,Norm,1Fam,2Story,7,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,,0.0,Gd,TA,PConc,Gd,TA,No,GLQ,674.0,Unf,0.0,76.0,6.621405651764134,GasA,Ex,Y,SBrkr,1061,862,0,7.562161631225652,1.0,0.0,2,1,3,1,Gd,8,Typ,1,TA,Attchd,1992.0,RFn,2.0,6.336825731146441,TA,TA,Y,240,39,0,0,0,0,,None,,0,6,2010,WD ,Normal,190000,0.1887885332809739,0.07363047319850775,0.05537011584527783,Recent,Very_Large,18,18,18.0,3.5,279,7.891330757661889,1,1,1,1.3919695269981323,-0.42590143613257125,1.9619617099962918,0.45805999989210433,0.530199597527417,0.4920164312801494,0.27208241557469526
